"id","username","passwordHash","email","role","firstName","lastName","contactNumber","address","department","isAccountVerified","createdAt","updatedAt"
"59c044f9-fd9c-4a06-ada9-e0a5ce7a24b1","registry15","$2b$10$jivMnz.IQIdlfMM7VE1sP.i50LqeNL9BclT7XqAlE7d7.0ngYD2ma","registry15@example.com","Registry","Mittie","Aufderhar",NULL,NULL,"Home",True,"2025-07-01 10:54:55.301+01","2025-07-01 10:54:55.301+01"
"5b778a1b-4d1b-47ca-89f0-d42b3c969bb2","registry16","$2b$10$qCdqx7SYhH8s/W.5jiaML.ajxqoOnHBqVIVlQomVhQghcKK2RAWWW","registry16@example.com","Registry","Amie","Lind",NULL,NULL,"Movies",True,"2025-07-01 10:54:55.374+01","2025-07-01 10:54:55.374+01"
"9713187c-3fb0-40ea-a67d-183725306722","registry17","$2b$10$CCUBLy0Gi2Ts4SvCj.FIC.GMD/hzAFw8xo/F/ApWtdtgp7fGhuYFm","registry17@example.com","Registry","Emiliano","Haag",NULL,NULL,"Tools",True,"2025-07-01 10:54:55.44+01","2025-07-01 10:54:55.44+01"
"f6fa4fbc-84c6-4288-905c-919fb256d439","registry18","$2b$10$CaGV6l0YBwQF6hdjLBOLpuyGxNFPEb3E9GmEOfm.522BKJpubkomW","registry18@example.com","Registry","Cielo","Kris",NULL,NULL,"Outdoors",True,"2025-07-01 10:54:55.507+01","2025-07-01 10:54:55.507+01"
"fe664457-1859-4f6d-9697-bb46925d6ee4","registry19","$2b$10$XKMvtrvQYgm5.sVtfAp3pOfKhx54VhYlUk5cE6tK8LqZdRwBWOjXm","registry19@example.com","Registry","Roberto","Gerhold",NULL,NULL,"Garden",True,"2025-07-01 10:54:55.582+01","2025-07-01 10:54:55.582+01"
"6ac50ec1-7469-4cd7-a38d-8ba1dbcf8768","landlord0","$2b$10$t63PaSvvn/h43n8ZeTFBsuN6nXfUpHWEoz.Vi6PcxqW9AKzGcQENe","landlord0@example.com","Landlord","Russell","Rowe","(287) 319-0974","73197 Bashirian Roads",NULL,True,"2025-07-01 10:54:55.653+01","2025-07-01 10:54:55.653+01"
"b7628daa-c2e7-4855-bdc8-6e8e0e2ac1a4","landlord1","$2b$10$ZRpzuxk6nNhrqZIXnq9zVeRz7JSyWtO2jWjHk8CEo1njLSDKcLkZ6","landlord1@example.com","Landlord","Sherman","Dickens","1-363-270-4996 x336","27207 Stroman Extensions",NULL,True,"2025-07-01 10:54:55.719+01","2025-07-01 10:54:55.719+01"
"3ce1ec08-c172-4571-9a83-964a24aa3ade","landlord2","$2b$10$0mNBYqqZqAECQHJwRZUUc.oLkWeNMPfkNvEcUfRalCJkcTjSOGQCW","landlord2@example.com","Landlord","Renee","Lehner","(480) 550-6546","9932 Ryder Forges",NULL,True,"2025-07-01 10:54:55.786+01","2025-07-01 10:54:55.786+01"
"99e50942-3481-49b7-b927-52ae16fd44fb","landlord3","$2b$10$JZZWTgyQkpBKEvTfhlJc3ujgOlQHvI0MgzHnkt0.rOK3/0u7LkMCq","landlord3@example.com","Landlord","Katrine","Gleichner","486-656-2428 x4416","783 Wolf Ridges",NULL,True,"2025-07-01 10:54:55.854+01","2025-07-01 10:54:55.854+01"
"dc52abc5-dcbc-46f2-8769-ca850981d5c0","landlord4","$2b$10$MXNJsNwNLEaFiWnw//pWMOmDfTUXa.TRjrVfzYaUtdld4vKis6a5i","landlord4@example.com","Landlord","Haleigh","Reichert","(918) 325-4431","84579 Wayne Ford",NULL,True,"2025-07-01 10:54:55.92+01","2025-07-01 10:54:55.92+01"
"00fb6ac7-33ca-49d6-acd6-11bc63df63cf","landlord5","$2b$10$VLqiZ40mkW3Y17HN14nlQ.1PyT45gTwhEv3X40wrpzT..l6Oasui2","landlord5@example.com","Landlord","Caleb","Wolf","632-275-4576 x664","94014 Morissette Station",NULL,True,"2025-07-01 10:54:55.986+01","2025-07-01 10:54:55.986+01"
"ae4c6d31-2b85-4a6b-83cc-2745798ee457","landlord6","$2b$10$DYv8d7kJkHWfKONzlv8rkOaU7xTNHw8qcLgdgE9kG/muLMSklK0Dq","landlord6@example.com","Landlord","Nora","Rogahn","980.375.2288 x794","3427 Sophie Forest",NULL,True,"2025-07-01 10:54:56.053+01","2025-07-01 10:54:56.053+01"
"55aec82b-b243-45ff-8f51-bb90e1192a96","landlord7","$2b$10$Mgr4Sk/EBF2Iwlvsnr5YDeRXuu9LAp3h8bV/qwr42SSpCKRA1gqH2","landlord7@example.com","Landlord","Micheal","Bruen","298-650-4010 x87073","1111 Cronin Gateway",NULL,True,"2025-07-01 10:54:56.119+01","2025-07-01 10:54:56.119+01"
"0cee2bad-7c24-4566-bb88-1f4891946aa7","landlord8","$2b$10$q1XLgmmI1GLPdl0C2i5Mq.JRZY02M19LwAj2OGyQyFNx1k5QyU5/K","landlord8@example.com","Landlord","Ruthe","Johnston","754-223-2094 x59535","71835 Meghan Village",NULL,True,"2025-07-01 10:54:56.19+01","2025-07-01 10:54:56.19+01"
"014e362d-273a-42bd-bfb6-f452a24c43f3","landlord9","$2b$10$cKznKli/UF16Wp6QdL.edessyRNmENtctGnRy.zCpaMSrZOASdWDq","landlord9@example.com","Landlord","Albin","Tillman","587-599-6413","7723 Runte Circle",NULL,True,"2025-07-01 10:54:56.266+01","2025-07-01 10:54:56.266+01"
"2eefad62-a52b-4ba1-9dd1-1a3a39842f50","landlord10","$2b$10$opjtvkKf6nH6FWAvc/T.muZLefiVnsVeQN/w7n6K1S5spcRsTxITq","landlord10@example.com","Landlord","Alfonso","Price","(735) 975-0378 x403","088 Liliana Prairie",NULL,True,"2025-07-01 10:54:56.342+01","2025-07-01 10:54:56.342+01"
"2a00b02b-fa71-49c6-b1d9-dda5ffcd9ab6","landlord11","$2b$10$Frw2oSIY0jN.1s99C6aEG.1bneTOvEcwO9Gn.QJFp3gLYHhF2zjqS","landlord11@example.com","Landlord","Desiree","Schmeler","378-717-7335","29429 Emmerich Turnpike",NULL,True,"2025-07-01 10:54:56.417+01","2025-07-01 10:54:56.417+01"
"b3768d94-657a-4695-ab2e-b5a93103d41a","landlord12","$2b$10$rBW2sHgNU1nyucfConvLI.yZ3soX5bx2t4pesBCaVCaCe5SF29sIa","landlord12@example.com","Landlord","Maymie","Davis","704-713-6085 x544","939 Pacocha Club",NULL,True,"2025-07-01 10:54:56.487+01","2025-07-01 10:54:56.487+01"
"d77306d3-8026-4e9d-9eab-a23f297a0bef","landlord13","$2b$10$/dKWefvLKuJp9ICKN7d5seUYm.twJ0KpkOngtv2GoNPN9lSDQqOFO","landlord13@example.com","Landlord","Ernest","Schaden","1-671-664-5686 x612","156 Prohaska Inlet",NULL,True,"2025-07-01 10:54:56.562+01","2025-07-01 10:54:56.562+01"
"fcd27974-c3b7-4b56-a8df-f5d331205729","landlord14","$2b$10$MYJLxOJdOmN/CvSihh1mBeckAJOtGaEP8zTV3SAXapcWhLFWKswJG","landlord14@example.com","Landlord","Bridget","Heidenreich","559.646.6402 x1681","89724 Bernier Stravenue",NULL,True,"2025-07-01 10:54:56.632+01","2025-07-01 10:54:56.632+01"
"fc4d362e-d631-4172-afd6-510695d9d42c","landlord15","$2b$10$RMN7J1zQQWxpjsdsgv9Rw.nLYIaoEvFNZPniwuc4WT8JU.SqAn6.O","landlord15@example.com","Landlord","Ramiro","Leuschke","(612) 590-5858","672 Moore Branch",NULL,True,"2025-07-01 10:54:56.718+01","2025-07-01 10:54:56.718+01"
"4e38b3ad-097c-434e-977d-e93704383918","landlord16","$2b$10$rp86Z/SRn1kOlzgcwsqxceKW9v8lXmSeFFvaj7AFAob4cadIXa82u","landlord16@example.com","Landlord","Quincy","Abernathy","(376) 367-3651","64381 Kunde Center",NULL,True,"2025-07-01 10:54:56.797+01","2025-07-01 10:54:56.797+01"
"a2f2f327-da25-468a-bf0a-ee40a44ab4c5","landlord17","$2b$10$gk1d8ABeC27j3B3W/BhEcOC7VSRlg9iqxc.S7Ik4D8E/U0WptqmLi","landlord17@example.com","Landlord","Miles","Jones","539.293.9753 x7944","44846 Hayes Divide",NULL,True,"2025-07-01 10:54:56.876+01","2025-07-01 10:54:56.876+01"
